,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_51016,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
1,sequence_51170,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
2,sequence_32130,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
3,sequence_51136,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,24,24,24,24,24
4,sequence_51191,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
5,sequence_51140,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
6,sequence_51149,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7,sequence_51181,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
8,sequence_51159,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
9,sequence_51175,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
10,sequence_51174,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
11,sequence_51169,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
12,sequence_51199,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
13,sequence_51144,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
14,sequence_51183,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
15,sequence_51157,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
16,sequence_51163,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
17,sequence_51173,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
18,sequence_51168,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
19,sequence_51171,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
20,sequence_51182,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
21,sequence_51131,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
22,sequence_51138,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
23,sequence_51196,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
24,sequence_51202,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
25,sequence_51192,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
26,sequence_51147,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
27,sequence_51151,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,sequence_51145,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
29,sequence_51187,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
30,sequence_51148,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
